ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181307862,18-24,10.0,8.0,0.8,Even
2000,2181307862,25-34,33.0,26.0,0.7878787878787878,Even
2000,2181307862,35-44,71.0,65.0,0.9154929577464789,Even
2000,2181307862,45-54,71.0,69.0,0.971830985915493,Even
2000,2181307862,55-64,27.0,26.0,0.9629629629629629,Even
2000,2181307862,65+,5.0,5.0,1.0,Even
2000,2181307863,18-24,5.0,1.0,0.2,Even
2000,2181307863,25-34,33.0,31.0,0.9393939393939394,Even
2000,2181307863,35-44,82.0,77.0,0.9390243902439024,Even
2000,2181307863,45-54,87.0,81.0,0.9310344827586207,Even
2000,2181307863,55-64,63.0,61.0,0.9682539682539683,Even
2000,2181307863,65+,16.0,16.0,1.0,Even
2000,2181307864,18-24,7.0,6.0,0.8571428571428571,Even
2000,2181307864,25-34,30.0,28.0,0.9333333333333333,Even
2000,2181307864,35-44,57.0,52.0,0.9122807017543859,Even
2000,2181307864,45-54,37.0,35.0,0.9459459459459459,Even
2000,2181307864,55-64,38.0,37.0,0.9736842105263158,Even
2000,2181307864,65+,37.0,37.0,1.0,Even
2000,2181307865,18-24,8.0,5.0,0.625,Even
2000,2181307865,25-34,26.0,20.0,0.7692307692307693,Even
2000,2181307865,35-44,37.0,34.0,0.918918918918919,Even
2000,2181307865,45-54,26.0,26.0,1.0,Even
2000,2181307865,55-64,15.0,15.0,1.0,Even
2000,2181307865,65+,7.0,7.0,1.0,Even
2000,2181307866,18-24,12.0,9.0,0.75,Even
2000,2181307866,25-34,55.0,47.0,0.8545454545454545,Even
2000,2181307866,35-44,68.0,63.0,0.9264705882352942,Even
2000,2181307866,45-54,63.0,61.0,0.9682539682539683,Even
2000,2181307866,55-64,19.0,18.0,0.9473684210526315,Even
2000,2181307866,65+,6.0,6.0,1.0,Even
2000,2181307867,18-24,3.0,2.0,0.6666666666666666,Even
2000,2181307867,25-34,39.0,34.0,0.8717948717948718,Even
2000,2181307867,35-44,56.0,54.0,0.9642857142857143,Even
2000,2181307867,45-54,35.0,33.0,0.9428571428571428,Even
2000,2181307867,55-64,16.0,16.0,1.0,Even
2000,2181307867,65+,12.0,12.0,1.0,Even
2000,2181307868,18-24,9.0,8.0,0.8888888888888888,Even
2000,2181307868,25-34,53.0,48.0,0.9056603773584906,Even
2000,2181307868,35-44,102.0,99.0,0.9705882352941176,Even
2000,2181307868,45-54,112.0,110.0,0.9821428571428571,Even
2000,2181307868,55-64,70.0,68.0,0.9714285714285714,Even
2000,2181307868,65+,25.0,25.0,1.0,Even
2000,2181307869,18-24,4.0,4.0,1.0,Even
2000,2181307869,25-34,32.0,30.0,0.9375,Even
2000,2181307869,35-44,46.0,41.0,0.8913043478260869,Even
2000,2181307869,45-54,57.0,54.0,0.9473684210526315,Even
2000,2181307869,55-64,35.0,34.0,0.9714285714285714,Even
2000,2181307869,65+,16.0,16.0,1.0,Even
2000,2181307870,18-24,10.0,10.0,1.0,Even
2000,2181307870,25-34,15.0,13.0,0.8666666666666667,Even
2000,2181307870,35-44,36.0,33.0,0.9166666666666666,Even
